name,url,description,phones,mail,category,address
Металл Кубинка,http://metalkubinka.ru/,"наб. Обводного канала, 227, Санкт-Петербург, Россия",+7 (911) 929-60-40,,"Цветные металлы, Чёрная металлургия, Приём вторсырья","Россия, Санкт-Петербург, набережная Обводного канала, 227"
Tucti Металл,,"ул. Демьяна Бедного, 5А, Алматы, Казахстан",+7 (777) 813-08-53,,"Чёрная металлургия, Цветные металлы, Приём вторсырья","Казахстан, Алматы, улица Демьяна Бедного,5А"
Металл-Тюмень,https://www.металл-тюмень.рф/,"ул. 50 лет Октября, 206, стр. 2, Тюмень, Россия",+7 (3452) 96-34-44,,"Чёрная металлургия, Цветные металлы, Металлоконструкции","Россия, Тюмень, улица 50 лет Октября, 206, стр. 2"
Русский металл,http://www.rmet.ru/,"ул. Марии Ульяновой, 8В, Родники, Россия",+7 (961) 248-99-23,,"Приём вторсырья, Цветные металлы, Чёрная металлургия","Россия, Ивановская область, Родники, улица М. Ульяновой, 8В"
Металл-М,http://www.metall-m.ru/,"Орловская ул., 212, поселок Орловка, Набережные Челны, Россия","+7 (8552) 51-61-00, +7 (8552) 34-13-43",,"Металлопрокат, Металлургическое предприятие, Цветные металлы","Россия, Республика Татарстан, Набережные Челны, поселок Орловка, Орловская улица, 212"
Металл-проект,http://www.metall-lom.ru/,"ул. Металлургов, 3, Волхов, Россия","+7 (921) 879-69-91, +7 (921) 743-33-47",,"Приём вторсырья, Цветные металлы, Чёрная металлургия","Россия, Ленинградская область, Волхов, улица Металлургов, 3"
Металл-проект,http://www.metall-lom.ru/,"Малая Инженерная ул., 2, Луга, Россия",+7 (911) 975-55-86,,"Приём вторсырья, Цветные металлы, Чёрная металлургия","Россия, Ленинградская область, Луга, Малая Инженерная улица, 2"
Металл Трейдинг,https://lom-metal.ru/,"Дачная ул., 59, стр. 11, Архангельск, Россия",+7 (921) 677-55-55,,"Приём вторсырья, Цветные металлы, Чёрная металлургия","Россия, Архангельск, Дачная улица, 59, стр. 11"
Омега Металл,http://www.omegametall.ru/,"Промышленная ул., 6, стр. 1, посёлок Молодёжный, Россия",+7 (495) 334-14-01,,"Металлопрокат, Чёрная металлургия, Оптовая компания","Россия, Московская область, городской округ Подольск, посёлок Молодёжный, Промышленная улица, 6, стр. 1"
Русский металл,https://www.rusmet365.ru/37_kineshma_2_shuyskaya_1n/,"2-я Шуйская ул., 1Н, Кинешма, Россия","+7 (920) 674-89-37, +7 (4932) 59-06-90, +7 (960) 510-87-84",,"Цветные металлы, Чёрная металлургия","Россия, Ивановская область, Кинешма, 2-я Шуйская улица, 1Н"
